block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,verdict
0,0,0,5.37,1,2.52,315249,Y4,0.24/noise-like,0.00/noise-like,SPECTRAL-LINE
0,1,0,1.47,845,2.22,745207,Y2,,,clean
0,2,0,1.42,1,171.98,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,3,0,1.48,1,77.85,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,4,0,1.53,1,55.39,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,5,0,1.73,1,93.91,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,6,0,1.38,1760,146.75,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,7,0,1.49,1,169.62,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,8,0,1.73,1,148.63,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,9,0,1.55,1,171.00,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,10,0,1.79,1,175.58,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,11,0,1.38,1,188.07,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,12,0,1.38,664,2.36,130713,Y2,,,clean
0,13,0,1.60,1,2.45,651419,Y2,,,clean
0,14,0,1.73,1,236.20,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,15,0,1.76,1,230.13,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,16,0,1.29,1,2.46,177473,Y2,,,clean
0,17,0,1.64,1,2.50,463039,Y4,,,clean
0,18,0,1.56,247,2.52,595540,Y4,,,clean
0,19,0,1.69,1,2.30,1120448,Y2,,,clean
0,20,0,1.70,1,131.83,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,21,0,1.63,1,77.92,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,22,0,1.44,1,83.05,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,23,0,1.69,1,157.76,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,24,0,1.64,1,2.66,137866,Y2,,,clean
0,25,0,1.47,1,2.31,1443923,Y2,,,clean
0,26,0,1.80,1,197.16,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,27,0,1.58,1,160.70,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,28,0,1.92,1,184.58,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,29,0,1.46,1,2.42,487626,Y4,,,clean
0,30,0,1.76,1,2.48,1039624,Y2,,,clean
0,31,0,1.45,1,2.25,1003057,Y4,,,clean
0,32,0,3.06,1,2.28,622630,Y2,0.24/noise-like,0.00/noise-like,hump-note
0,33,0,1.82,1,2.41,258833,Y2,,,clean
0,34,0,1.65,1,215.39,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,35,0,1.72,1,2.30,947803,Y4,,,clean
0,36,0,1.65,1,2.42,151902,Y4,,,clean
0,37,0,1.92,1,2.41,542343,Y2,,,clean
0,38,0,1.69,1,2.81,36567,Y4,,,clean
0,39,0,2.02,1,188.65,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,40,0,2.11,1,65.72,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,41,0,1.72,1,70.25,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,42,0,1.85,1,139.89,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,43,0,1.86,1,213.79,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,44,0,1.68,1,2.63,468940,Y2,,,clean
0,45,0,1.77,1,2.37,370860,Y2,,,clean
0,46,0,1.93,1,153.93,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,47,0,1.97,1,133.70,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,48,0,2.52,1,2.40,1224250,Y4,0.00/noise-like,0.24/noise-like,hump-note
0,49,0,1.80,1,2.36,754237,Y2,,,clean
0,50,0,1.89,1,2.38,138491,Y4,,,clean
0,51,0,2.64,1,169.92,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,52,0,2.54,1,80.07,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,53,0,2.98,1,53.84,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,54,0,2.84,1,36.99,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,55,0,2.69,1,14.23,179,Y4,0.42/WATCH,0.42/WATCH,FAM-HIT
0,56,0,3.30,1,3.09,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,57,0,0,-1,0,0,-,,,QUARANTINE:dark-lane range=60 distinct=59
0,58,0,0,-1,0,0,-,,,QUARANTINE:dark-lane range=48 distinct=47
0,59,0,0,-1,0,0,-,,,QUARANTINE:dark-lane range=38 distinct=38
0,60,0,0,-1,0,0,-,,,QUARANTINE:dark-lane range=37 distinct=35
0,61,0,0,-1,0,0,-,,,QUARANTINE:dark-lane range=29 distinct=30
0,62,0,0,-1,0,0,-,,,QUARANTINE:dark-lane range=23 distinct=24
0,63,0,0,-1,0,0,-,,,QUARANTINE:dark-lane range=20 distinct=21
1,0,0,5.11,1,2.36,1013249,Y2,0.00/noise-like,0.00/noise-like,SPECTRAL-LINE
1,1,0,1.49,1,2.76,527501,Y2,,,clean
1,2,0,1.41,231,171.57,732422,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
